"","Day","number.scan.PT","number.scan.RST","number.scan.RBM"
"1",1,0,0,0
"2",2,19,18,0
"3",3,0,0,0
"4",4,0,0,0
"5",5,21,19,20
"6",6,0,20,15
"7",7,21,0,21
"8",8,19,20,20
"9",9,21,21,21
"10",10,0,0,0
"11",11,0,0,0
"12",12,21,18,21
"13",13,18,21,21
"14",14,21,21,18
"15",15,16,0,16
"16",16,21,21,21
"17",17,0,0,0
"18",18,0,0,0
"19",19,19,19,18
"20",20,20,20,21
"21",21,21,19,21
"22",22,0,21,21
"23",23,21,21,17
"24",24,0,0,0
"25",25,0,0,0
"26",26,21,21,21
"27",27,11,11,11
"28",28,21,19,21
"29",29,0,21,20
"30",30,20,19,20
"31",31,0,0,0
"32",32,0,0,0
"33",33,16,20,21
"34",34,18,20,20
"35",35,21,0,19
"36",36,20,19,18
"37",37,20,21,0
"38",38,0,0,0
"39",39,0,0,0
"40",40,0,0,19
"41",41,0,4,13
"42",42,15,20,0
"43",43,0,21,0
"44",44,0,0,0
"45",45,20,18,19
"46",46,0,0,0
"47",47,19,20,19
"48",48,21,19,15
"49",49,0,16,20
"50",50,21,20,0
"51",51,17,16,21
"52",52,0,0,0
"53",53,0,0,0
"54",54,18,19,18
"55",55,15,16,15
"56",56,21,20,20
"57",57,0,20,20
"58",58,0,20,20
"59",59,0,0,0
"60",60,0,0,0
"61",61,21,19,19
"62",62,0,20,18
"63",63,21,15,20
"64",64,21,0,21
"65",65,0,21,21
"66",66,0,0,0
"67",67,0,0,0
"68",68,0,19,0
"69",69,15,0,13
"70",70,18,20,0
"71",71,21,21,20
"72",72,0,19,19
"73",73,0,0,0
"74",74,0,0,0
"75",75,20,21,20
"76",76,20,19,0
"77",77,19,21,17
"78",78,0,21,20
"79",79,21,20,21
"80",80,0,0,0
"81",81,0,0,0
"82",82,0,0,0
"83",83,11,5,8
"84",84,13,16,17
"85",85,18,19,0
"86",86,19,0,20
"87",87,0,20,19
"88",88,0,0,0
"89",89,19,18,15
"90",90,21,0,21
"91",91,20,19,0
"92",92,20,20,17
"93",93,6,20,20
"94",94,0,0,0
"95",95,0,0,0
"96",96,19,19,0
"97",97,0,18,17
"98",98,20,0,18
"99",99,20,20,19
"100",100,13,20,20
"101",101,0,0,0
"102",102,0,0,0
"103",103,0,0,20
"104",104,21,20,21
"105",105,21,19,17
"106",106,18,19,20
"107",107,11,11,10
"108",108,0,0,0
"109",109,0,0,0
"110",110,21,19,21
"111",111,0,18,20
"112",112,18,21,20
"113",113,0,0,0
"114",114,18,21,21
"115",115,21,18,21
"116",116,0,0,0
"117",117,20,21,19
"118",118,20,20,21
"119",119,21,17,21
"120",120,19,20,21
"121",121,21,16,20
"122",122,0,0,0
"123",123,0,0,0
"124",124,21,20,21
"125",125,20,16,21
"126",126,20,20,21
"127",127,21,21,21
"128",128,21,20,20
"129",129,0,0,0
"130",130,0,0,0
"131",131,18,18,17
"132",132,19,20,18
"133",133,0,21,20
"134",134,20,20,19
"135",135,20,21,18
"136",136,0,0,0
"137",137,0,0,0
"138",138,20,19,21
"139",139,19,20,21
"140",140,21,20,19
"141",141,19,21,20
"142",142,20,21,18
"143",143,0,0,0
"144",144,0,0,0
"145",145,20,20,19
"146",146,21,20,21
"147",147,21,20,21
"148",148,19,17,21
"149",149,18,21,21
"150",150,0,0,0
"151",151,0,0,0
"152",152,19,20,18
"153",153,20,20,19
"154",154,13,13,13
"155",155,3,3,3
"156",156,17,19,20
"157",157,0,0,0
"158",158,0,0,0
"159",159,17,19,20
"160",160,21,18,21
"161",161,0,0,0
"162",162,0,0,0
"163",163,0,0,0
"164",164,0,0,0
"165",165,0,0,0
"166",166,0,0,0
"167",167,0,0,0
"168",168,0,0,0
"169",169,0,0,0
"170",170,0,0,0
"171",171,0,0,0
"172",172,0,0,0
"173",173,0,0,0
"174",174,0,0,0
"175",175,21,19,21
"176",176,20,21,21
"177",177,21,18,21
"178",178,0,0,0
"179",179,0,0,0
"180",180,21,21,20
"181",181,17,20,19
"182",182,21,19,9
"183",183,20,21,21
"184",184,21,20,18
"185",185,0,0,0
"186",186,0,0,0
"187",187,18,21,18
"188",188,21,19,21
"189",189,19,20,20
"190",190,20,21,18
"191",191,20,20,21
"192",192,0,0,0
